species_id,species_name,habitat,population_size,habitat_fragmentation,climate_vulnerability,illegal_hunting_pressure,conservation_efforts_index,breeding_program_exists,legal_protection,iucn_category,iucn_category_code
1,Toucan azul,Floor,17690,0.33024277933640533,0.7494260059808087,0.056162009903313104,0.25337939882933447,1,0,Vulnerable,3
2,Morpho azul,River,3830,0.9060658856863653,0.431112405097005,0.25563909379536154,0.895076559161845,1,1,Vulnerable,3
3,Jaguar mont,River,30543,0.2666751966619776,0.08754866402778061,0.5275636489994199,0.5739291361229822,0,0,Least Concern,2
4,Morpho azul,Floor,17451,0.724856499315017,0.2828011306704997,0.17159636706519,0.3507776230103121,0,1,Vulnerable,3
5,Parrot mont,River,10985,0.8776470196507814,0.41858228553148913,0.1674597445179885,0.8326937463494201,0,0,Vulnerable,3
6,Jaguar aure,Floor,1308,0.041656818382682426,0.292516425476252,0.4625935471051531,0.4934067004133952,0,0,Least Concern,2
7,Morpho virid,River,6515,0.3976475795920361,0.3322055709473216,0.03326797116935842,0.9116329137084755,1,0,Least Concern,2
8,Toucan flor,Canopy,7064,0.7623090320219387,0.29377590617439076,0.12188808253227046,0.928014236729381,0,1,Vulnerable,3
9,Parrot mont,Floor,2656,0.4549188895075871,0.041499167183079444,0.41586133940794756,0.16542015212840933,0,1,Least Concern,2
10,Sloth azul,River,843,0.2672526297935953,0.6370947008244425,0.06312990920796646,0.0023234061319302723,0,0,Least Concern,2
11,Jaguar virid,River,15003,0.21980534882319003,0.5972924203534693,0.39675505645552933,0.9839309401424022,0,1,Least Concern,2
12,Parrot virid,Canopy,1311,0.1315182669163779,0.6533834984786806,0.4740062659484451,0.9061375361274794,0,0,Least Concern,2
13,Jaguar virid,Floor,9031,0.8571295598562823,0.19230989603362747,0.4512666140731144,0.05544523570384141,0,0,Vulnerable,3
14,Morpho azul,River,27569,0.575355403251556,0.2956545416124853,0.8691748574030873,0.8330342639410699,0,0,Vulnerable,3
15,Jaguar azul,Canopy,20893,0.07638494499145598,0.6196159269449223,0.5300624550517324,0.4578049325592066,0,1,Least Concern,2
16,Jaguar azul,River,3263,0.3825803235706354,0.5996275684599214,0.46798046247804337,0.2589616050249752,1,1,Least Concern,2
